Subject Name,Scientific Name
Amur maple,Acer ginnala
Norway maple,Acer platanoides
common horse chestnut,Aesculus hippocastanum
tree-of-heaven,Ailanthus altissima
mimosa,Albizia julibrissin
European black alder,Alnus glutinosa
Chinese catalpa,Catalpa ovata
Siberian crabapple,Malus baccata
plumleaf crabapple,Malus prunifolia
paradise apple,Malus pumila
white mulberry,Morus alba
princesstree,Paulownia tomentosa
Amur corktree,Phellodendron amurense
Norway spruce,Picea abies
Scots pine,Pinus sylvestris
white poplar,Populus alba
Lombardy poplar,Populus nigra
plum,Prunus domestica
Callery pear (Bradford pear),Pyrus calleryana
Chinese pear,Pyrus ussuriensis
sawtooth oak,Quercus acutissima
Dahurian buckthorn,Rhamnus davurica
bristly locust,Robinia hispida
black locust,Robinia pseudoacacia
white willow,Salix alba
crack willow,Salix fragilis
laurel willow,Salix pentandra
hybrid crack willow,Salix x rubens
European mountain-ash,Sorbus aucuparia
saltcedar,Tamarix ramosissima
littleleaf linden,Tilia cordata
Siberian elm,Ulmus pumila
wayfaringtree,Viburnum lantana
European cranberrybush,Viburnum opulus
