,Species,DBH,Multi-Stem,Street Address
1149,"Apple, Paradise (Malus pumila)",8,No,7550 Lohmeyer Ave
1150,"Apple, Paradise (Malus pumila)",11,No,7550 Lohmeyer Ave
1151,"Apple, Paradise (Malus pumila)",9,No,7550 Lohmeyer Ave
86,"Corktree, Amur (Phellodendron amurense)",5,No,2111 Bellevue Ave
99,"Corktree, Amur (Phellodendron amurense)",7,No,2143 Bellevue Ave
145,"Corktree, Amur (Phellodendron amurense)",9,No,2201 Blendon Pl
146,"Corktree, Amur (Phellodendron amurense)",15,No,2201 Blendon Pl
475,"Corktree, Amur (Phellodendron amurense)",10,No,3611 Commonwealth Ave
476,"Corktree, Amur (Phellodendron amurense)",6,No,3615 Commonwealth Ave
487,"Corktree, Amur (Phellodendron amurense)",3,No,3631 Commonwealth Ave
2414,"Corktree, Amur (Phellodendron amurense)",6,No,7265 Zephyr Pl
2415,"Corktree, Amur (Phellodendron amurense)",6,No,7265 Zephyr Pl
1787,"Corktree, Amur (Phellodendron amurense)",1,Yes,7437 Richmond Pl
1788,"Corktree, Amur (Phellodendron amurense)",1,Yes,7437 Richmond Pl
903,"Corktree, Amur (Phellodendron amurense)",2,No,7446 Hazel Ave
904,"Corktree, Amur (Phellodendron amurense)",4,No,7446 Hazel Ave
2285,"Corktree, Amur (Phellodendron amurense)",2,No,7524 Williams Ave
405,"Corktree, Amur (Phellodendron amurense)",8,No,7600 Comfort Ave
158,"Elm, Siberian (Ulmus pumila)",18,No,2015 Bredell Ave
140,"Elm, Siberian (Ulmus pumila)",28,No,2040 Bland Pl
191,"Elm, Siberian (Ulmus pumila)",8,No,2221 Bredell Ave
1899,"Elm, Siberian (Ulmus pumila)",2,No,2400 Sutton Blvd
1947,"Elm, Siberian (Ulmus pumila)",28,No,2400 Sutton Blvd
2271,"Elm, Siberian (Ulmus pumila)",7,No,2537 Westpoint Dr
2272,"Elm, Siberian (Ulmus pumila)",6,No,2537 Westpoint Dr
2273,"Elm, Siberian (Ulmus pumila)",3,No,2537 Westpoint Dr
2275,"Elm, Siberian (Ulmus pumila)",4,No,2541 Westpoint Dr
2281,"Elm, Siberian (Ulmus pumila)",5,No,2548 Westpoint Dr
125,"Elm, Siberian (Ulmus pumila)",16,No,2604 Bellevue Ave
2030,"Elm, Siberian (Ulmus pumila)",14,No,3201 Sutton Blvd
1051,"Elm, Siberian (Ulmus pumila)",12,No,3235 Laclede Station Rd
1088,"Elm, Siberian (Ulmus pumila)",30,No,3235 Laclede Station Rd
1375,"Elm, Siberian (Ulmus pumila)",3,Yes,3612 Manhattan Ave
1142,"Elm, Siberian (Ulmus pumila)",10,No,7319 Lohmeyer Ave
1143,"Elm, Siberian (Ulmus pumila)",12,No,7319 Lohmeyer Ave
650,"Elm, Siberian (Ulmus pumila)",14,No,7465 Flora Ave
2198,"Elm, Siberian (Ulmus pumila)",8,No,7543 Weaver Ave
53,"Elm, Siberian (Ulmus pumila)",12,No,7553 Alicia Ave
1486,"Elm, Siberian (Ulmus pumila)",24,No,7602 Marion Ct
712,"Elm, Siberian (Ulmus pumila)",24,No,7743 Folk Ave
1126,"Elm, Siberian (Ulmus pumila)",13,Yes,7749 Lindbergh Dr
1133,"Elm, Siberian (Ulmus pumila)",14,No,7749 Lindbergh Dr
1136,"Elm, Siberian (Ulmus pumila)",16,No,7749 Lindbergh Dr
2243,"Elm, Siberian (Ulmus pumila)",8,No,7772 Weaver Ave
2257,"Linden, Littleleaf (Tilia cordata)",4,No,2515 Westpoint Dr
75,"Linden, Littleleaf (Tilia cordata)",17,No,7215 Anna Ave
76,"Linden, Littleleaf (Tilia cordata)",12,No,7215 Anna Ave
1391,"Linden, Littleleaf (Tilia cordata)",16,No,7305 Maple Ave
630,"Linden, Littleleaf (Tilia cordata)",6,No,7431 Flora Ave
631,"Linden, Littleleaf (Tilia cordata)",8,No,7431 Flora Ave
401,"Linden, Littleleaf (Tilia cordata)",2,No,7538 Comfort Ave
1192,"Linden, Littleleaf (Tilia cordata)",18,No,7550 Lohmeyer Ave
2225,"Linden, Littleleaf (Tilia cordata)",12,No,7750 Weaver Ave
