"Address","Suffix","Street","Side","On Street","Site ID","X","Y","Latitude","Longitude","Species","DBH","Park Name","Multi-Stem"
2000,"","Alameda Ave","Front","Alameda Ave",198,873299.20750517,1015336.78953778,38.6218900133,-90.3141689237,"Sycamore, American (Platanus occidentalis)",33," N/A","No"
2000,"","Alameda Ave","Front","Alameda Ave",203,873303.857071799,1015365.65256611,38.6219692429,-90.3141524446,"Spruce, Blue (Picea pungens)",1," N/A","No"
2000,"","Alameda Ave","Front","Alameda Ave",206,873306.002965944,1015379.00169719,38.6220058865,-90.3141448388,"Spruce, Blue (Picea pungens)",1," N/A","No"
2009,"","Alameda Ave","Front","Alameda Ave",208,873256.315619534,1015235.71484071,38.621612709,-90.3143197707,"Sweetgum, Common (Liquidambar styraciflua)",25," N/A","No"
2010,"","Alameda Ave","Front","Alameda Ave",154,873282.140961622,1015180.223583,38.6214601913,-90.3142297695,"Maple, Amur (Acer ginnala)",8," N/A","Yes"
2010,"","Alameda Ave","Front","Alameda Ave",160,873284.645387349,1015195.37689295,38.6215017871,-90.3142208962,"Maple, Amur (Acer ginnala)",8," N/A","Yes"
2010,"","Alameda Ave","Front","Alameda Ave",166,873286.429151261,1015208.72537531,38.6215384309,-90.3142145581,"Maple, Amur (Acer ginnala)",10," N/A","Yes"
2010,"","Alameda Ave","Front","Alameda Ave",173,873293.004145153,1015180.96691479,38.621462172,-90.3141917409,"Serviceberry, Downy (Amelanchier arborea)",4," N/A","Yes"
2010,"","Alameda Ave","Front","Alameda Ave",180,873293.697061616,1015196.47723077,38.6215047582,-90.3141892056,"Serviceberry, Downy (Amelanchier arborea)",4," N/A","Yes"
2010,"","Alameda Ave","Front","Alameda Ave",186,873295.829103289,1015216.67918757,38.6215602192,-90.3141815999,"Dogwood, Kousa (Cornus kousa)",4," N/A","No"
2010,"","Alameda Ave","Front","Alameda Ave",190,873296.865188042,1015241.56764284,38.621628555,-90.314177797,"Tulip Tree (Liriodendron tulipifera)",26," N/A","No"
2010,"","Alameda Ave","Front","Alameda Ave",194,873291.354764286,1015280.14833046,38.621734525,-90.3141968113,"Pear, Callery 'Bradford' (Pyrus calleryana 'Bradford')",14," N/A","No"
2014,"","Alameda Ave","Front","Alameda Ave",171,873276.822494412,1015123.94784742,38.6213056924,-90.3142487839,"Redbud, Eastern (Cercis canadensis)",7," N/A","No"
2014,"","Alameda Ave","Front","Alameda Ave",178,873279.671567068,1015147.758039,38.6213710573,-90.3142386429,"Sweetgum, Common (Liquidambar styraciflua)",17," N/A","No"
2015,"","Alameda Ave","Front","Alameda Ave",158,873243.836422212,1015138.66871701,38.6213462979,-90.3143641375,"Pear, Callery 'Bradford' (Pyrus calleryana 'Bradford')",6," N/A","Yes"
2019,"","Alameda Ave","Front","Alameda Ave",164,873232.438496238,1015044.14915062,38.6210868184,-90.3144047014,"Magnolia, Southern (Magnolia grandiflora)",2," N/A","No"
2026,"","Alameda Ave","Front","Alameda Ave",165,873267.187343336,1015053.23628802,38.621111578,-90.3142830095,"Maple, Amur (Acer ginnala)",9," N/A","No"
